overall_episode,season,episode_in_season,season_episode_code,title,synopsis,theme_tags,episode_type,is_retired,primary_country,all_countries,region,primary_destination,iso2,flag,lat,long,geo_match,original_air_date,air_year,air_month,air_weekday,days_since_premiere,gap_since_prev_episode_d,imdb_tconst,imdb_url,imdb_rating,imdb_votes,imdb_rating_shrunk,imdb_low_votes,image_url,image_source,best_summary,summary_source,best_runtime,watch_url,tvmaze_url,tvmaze_id
1,1,1,S01E01,Portugal's Heartland,Portugal; barnacles; fishing town; pilgrims; university; Golden Age.,Religion & Spirituality,Standard,Yes,Portugal,Portugal,Iberia,Heartland Portugal,PT,🇵🇹,39.6621648,-8.1353519,country,2000-09-03,2000,Sep,Sun,0,NA,tt1453776,https://www.imdb.com/title/tt1453776/,6.4,18,7.168968779564805,FALSE,https://i.ytimg.com/vi/0IvZOZtjMYM/maxresdefault.jpg,ricksteves.com,"Portugal has an oversized history, fascinating culture, and boatloads of sardines. Saving the capital city of Lisbon for another episode, we'll dance on the beach at Nazaré, marvel at a medieval abbey in Batalha, visit a royal library and revel with university students in Coimbra, savor port wine with the people who made it along the Douro River, and get to know Portugal's gritty and fascinating second city, Porto.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/portugal,https://www.tvmaze.com/episodes/525238/rick-steves-europe-1x01-portugals-heartland,525238
2,1,2,S01E02,Paris: Grand and Intimate,Paris; Louvre; Champs-Elysees; neighborhood; pipe organist; butcher shop; perfume; cruise.,Art & Architecture; Modern Life & Urban,Standard,Yes,France,France,Western Europe,Paris,FR,🇫🇷,48.8534951,2.3483915,full,2000-09-10,2000,Sep,Sun,7,7,tt1453775,https://www.imdb.com/title/tt1453775/,7.2,12,7.563796909492273,FALSE,https://i.ytimg.com/vi/5a7VhfIls4w/hqdefault.jpg,ricksteves.com,"Paris is a world-class city — but also one that to millions is simply home. On this adventure, we're going local. We start at the city's proud symbol, the Eiffel Tower, then cruise the Seine before exploring a few distinctive neighborhoods. We visit the market for fresh food and flowers, window-shop along trendy streets, and cap our tour with a nighttime ride through the sparkling City of Light.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/paris,https://www.tvmaze.com/episodes/525239/rick-steves-europe-1x02-paris-regal-and-intimate,525239
3,1,3,S01E03,South England: Dover to Land's End,Southern England; Roman/Nazi invasions; wild horses; ancient stone circle; cream tea.,History & Heritage,Standard,Yes,United Kingdom,United Kingdom,British Isles,South England,GB,🇬🇧,51.3547376,-0.1353155,full,2000-09-17,2000,Sep,Sun,14,7,tt1453778,https://www.imdb.com/title/tt1453778/,8.3,15,7.958889454915945,FALSE,NA,NA,"This time we're kicking off a South England adventure, starting at the White Cliffs of Dover and following the coast to Land's End.",tvmaze,26,NA,https://www.tvmaze.com/episodes/525241/rick-steves-europe-1x03-south-england-dover-to-lands-end,525241
4,1,4,S01E04,Heart of England and South Wales,A trip to prehistoric Stonehenge follows Glastonbury; a visit to a ruined abbey in South Wales.,History & Heritage; Religion & Spirituality,Standard,Yes,United Kingdom,United Kingdom,British Isles,England and Wales,GB,🇬🇧,53.251988,-3.0420904,full,2000-09-24,2000,Sep,Sun,21,7,tt1453771,https://www.imdb.com/title/tt1453771/,8,12,7.83046357615894,FALSE,https://i.ytimg.com/vi/Y4Syasft_5Y/maxresdefault.jpg,ricksteves.com,"The heartland of England has sights that put the ""Great"" in Britain — its venerable universities, its royal heritage, and reminders of its industrial might. At Oxford and Cambridge, we'll see where kings and prime ministers studied. At Blenheim Palace — Winston Churchill's birthplace — we'll connect with English aristocracy. At Ironbridge Gorge, we fire up memories of the Industrial Revolution. And all along the way, we'll be driving on the left and polishing our pub etiquette.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/heart-of-england,https://www.tvmaze.com/episodes/525242/rick-steves-europe-1x04-heart-of-england-and-south-wales,525242
5,1,5,S01E05,Caesar's Rome,Rome; Forum; Colosseum; Pantheon; catacombs; cat hospice; ice cream.,Food & Cuisine; History & Heritage,Standard,Yes,Italy,Italy,Mediterranean,Rome,IT,🇮🇹,41.8933203,12.4829321,full,2000-10-01,2000,Oct,Sun,28,7,tt1453768,https://www.imdb.com/title/tt1453768/,7.4,12,7.630463576158941,FALSE,NA,NA,Rome; Forum; Colosseum; Pantheon; catacombs; cat hospice; ice cream.,synopsis,26,NA,https://www.tvmaze.com/episodes/525243/rick-steves-europe-1x05-caesars-rome,525243
6,1,6,S01E06,Germany's Black Forest and Cologne,A classy mineral spa; fancy casino; Germany's most romantic forest.,Nature & Outdoors,Standard,No,Germany,Germany,Western Europe,Black Forest and Cologne,DE,🇩🇪,48.2634439,8.1647488,simple,2000-10-08,2000,Oct,Sun,35,7,tt1455956,https://www.imdb.com/title/tt1455956/,7.8,18,7.768968779564806,FALSE,https://i.ytimg.com/vi/VVYxG2QJ1PA/hqdefault.jpg,ricksteves.com,"After visiting Germany's greatest Gothic cathedral in Cologne, we'll enjoy the good life German-style at a top mineral spa and try our luck at the Versailles of casinos in Baden-Baden, then crank some old-time music and explore an open-air museum in the romantic Black Forest. 
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/germany-black-forest-and-cologne,https://www.tvmaze.com/episodes/525244/rick-steves-europe-1x06-germanys-black-forest-and-cologne,525244
7,1,7,S01E07,Scotland's Islands and Highlands,Scotland; pipers; castles; caber; clan gathering; Highland massacres; Loch Ness monster; whiskey distillery; ferry.,Food & Cuisine; Nature & Outdoors; Modern Life & Urban; Industry & Crafts,Standard,Yes,United Kingdom,United Kingdom,British Isles,Scotland,GB,🇬🇧,56.7861112,-4.1140518,full,2000-10-15,2000,Oct,Sun,42,7,tt1455959,https://www.imdb.com/title/tt1455959/,7.7,15,7.728120224146714,FALSE,NA,NA,"Crowning Britain in the Northwest of Europe, Scotland welcomes visitors. From the town of Oban, we cruise to the Isles of Mull and Iona, then follow the Caledonian Canal to Glencoe, Loch Ness and onto Culloden.",tvmaze,26,NA,https://www.tvmaze.com/episodes/525245/rick-steves-europe-1x07-scotlands-islands-and-highlands,525245
8,1,8,S01E08,Surprising Bulgaria,Bulgaria; donkey carts; monastery; sculptors; traditional dinner.,History & Heritage; Religion & Spirituality,Standard,Yes,Bulgaria,Bulgaria,Eastern Europe,Bulgaria,BG,🇧🇬,42.6073975,25.4856617,full,2000-10-22,2000,Oct,Sun,49,7,tt1455961,https://www.imdb.com/title/tt1455961/,7.2,10,7.585196727697701,FALSE,NA,NA,Bulgaria; donkey carts; monastery; sculptors; traditional dinner.,synopsis,26,NA,https://www.tvmaze.com/episodes/525246/rick-steves-europe-1x08-surprising-bulgaria,525246
9,1,9,S01E09,"Rome: Baroque, After Dark","A tour of Rome includes a pilgrimage to Michelangelo's Pieta, St. Peter's Basilica and the Borghese Gallery.",Art & Architecture; Religion & Spirituality; Modern Life & Urban,Standard,Yes,Italy,Italy,Mediterranean,Rome,IT,🇮🇹,41.8933203,12.4829321,full,2000-10-29,2000,Oct,Sun,56,7,tt1455958,https://www.imdb.com/title/tt1455958/,7.2,10,7.585196727697701,FALSE,NA,NA,"A tour of Rome includes a pilgrimage to Michelangelo's Pieta, St. Peter's Basilica and the Borghese Gallery.",synopsis,26,NA,https://www.tvmaze.com/episodes/525247/rick-steves-europe-1x09-rome-baroque-after-dark,525247
10,1,10,S01E10,Eastern Turkey,Turkey; sunrise; dam; grease wrestlers; Mount Nemrut; dancing.,NA,Standard,No,Turkey,Turkey,Beyond Europe,Eastern Turkey,TR,🇹🇷,39.2964961,-76.4000244,full,2000-11-05,2000,Nov,Sun,63,7,tt1455955,https://www.imdb.com/title/tt1455955/,8.2,8,7.859271523178808,TRUE,https://i1.ytimg.com/vi/k2gwaZ6wXVE/maxresdefault.jpg,ricksteves.com,"Sweeping across eastern Turkey, we'll learn a Kurdish folk dance, see a Silk Road palace, watch a little oil wrestling, visit the 4,000-year-old hometown of Abraham, ponder a megalomaniac king's attempt to join the gods…and hangout with nomadic Kurds.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/eastern-turkey,https://www.tvmaze.com/episodes/525248/rick-steves-europe-1x10-eastern-turkey,525248
